config,balanced_acc,accuracy,recall_mci,recall_cn,precision_mci,precision_cn,f1_mci,f1_cn,f1_macro,auc,mci_weight,gamma,wd,num_layers
12,0.7200038047965509,0.7113895363895363,0.7366945735663464,0.7033130360267551,0.38825445981997553,0.9181745481776117,0.5033890708221961,0.7939363715339548,0.6486627211780754,0.7665626278888601,4.0,1.0,0.001,2
13,0.7320677423448276,0.6997668997668997,0.784744542036124,0.6793909426535313,0.38360034605375953,0.9294555185582614,0.5093946599563199,0.7815562301519378,0.6454754450541287,0.75505013094941,4.0,1.0,0.001,3
14,0.7190335817071462,0.6844308469308469,0.7774302146255447,0.6606369487887475,0.3660900199527669,0.926723359367536,0.4928752467664925,0.7674674723658648,0.6301713595661785,0.7489801286347475,4.0,1.0,0.0001,2
15,0.733506790499866,0.7081811706811707,0.7767561024749129,0.6902574785248188,0.39470394565146455,0.9299631583930955,0.5160198722361441,0.7865892163633489,0.6513045442997466,0.7590704586097756,4.0,1.0,0.0001,3
16,0.7053638553460418,0.6876003626003626,0.7377635885226872,0.6729641221693964,0.3828828316265197,0.9172820481937397,0.48871161583999434,0.7679702813270153,0.6283409485835048,0.742024572590563,4.0,1.5,0.001,2
17,0.7198232977080435,0.6826016576016577,0.782598836563524,0.6570477588525633,0.3664032459871238,0.9272960903573347,0.49421429038884523,0.7654689117286361,0.6298416010587405,0.7482631438386351,4.0,1.5,0.001,3
18,0.7242613000361084,0.6917637917637918,0.7775267231864359,0.6709958768857808,0.38236657529869766,0.926832153905898,0.5038107449641311,0.7728298095366501,0.6383202772503906,0.7650026298204704,4.0,1.5,0.0001,2
19,0.728840262381755,0.7011493136493137,0.7744633995194673,0.6832171252440429,0.3841484629642547,0.9248291017473493,0.5084472800500739,0.7830340802769835,0.6457406801635288,0.7633048466827215,4.0,1.5,0.0001,3
20,0.7279808243916034,0.7025608650608651,0.7718148609970821,0.6841467877861251,0.38848484431813696,0.9270876362369126,0.5091582649882528,0.7832450827384105,0.6462016738633317,0.7674678001499585,4.0,2.0,0.001,2
21,0.7200978579947528,0.7122280497280497,0.7365175905553156,0.7036781254341901,0.39045883877760806,0.9197038649473093,0.5042318662715827,0.7930391948889195,0.6486355305802511,0.7585095806531198,4.0,2.0,0.001,3
22,0.7153238554130383,0.703917378917379,0.7335249837750578,0.6971227270510189,0.3876629745826446,0.917765871979282,0.4948886827530653,0.7864768317370937,0.6406827572450795,0.7613475201578301,4.0,2.0,0.0001,2
23,0.729630850105243,0.7108553483553482,0.7626828621080453,0.6965788381024407,0.3975638100040622,0.926750769839673,0.5133790585616964,0.7891838435397183,0.6512814510507073,0.7639427283325102,4.0,2.0,0.0001,3
24,0.7150060506619808,0.6708948458948459,0.7890839201183081,0.6409281812056536,0.37007614743225575,0.929898612711034,0.49361731931597674,0.7495032253479886,0.6215602723319829,0.7615245500802359,4.5,1.0,0.001,2
25,0.7093831763320598,0.6922947422947423,0.7395715157587921,0.6791948369053277,0.3803903114279995,0.9174006607755835,0.4919948678908307,0.7730167006720933,0.632505784281462,0.7490191368271754,4.5,1.0,0.001,3
26,0.7120208005772094,0.7006345506345504,0.7341584608363741,0.6898831403180445,0.38338303715528105,0.9157360093159708,0.495890807038322,0.7814180636604074,0.6386544353493646,0.7468236076992475,4.5,1.0,0.0001,2
27,0.7084615559996297,0.6983909608909611,0.7260554532617743,0.6908676587374851,0.37885478816618545,0.9151723966837149,0.48754932789967004,0.7816919797155947,0.6346206538076323,0.7441805701601116,4.5,1.0,0.0001,3
28,0.7183963248920514,0.7136039886039887,0.7230299823736314,0.7137626674104717,0.3988547949505798,0.9152032362337796,0.5005793146914775,0.7953648482096355,0.6479720814505565,0.7563051428734506,4.5,1.5,0.001,2
29,0.7209639437460026,0.7114542864542865,0.738612500720517,0.703315386771488,0.41035419063172873,0.9193000362506917,0.5118415685654162,0.7889322911193379,0.6503869298423771,0.7540341342133386,4.5,1.5,0.001,3
30,0.7032297040080565,0.6797397047397047,0.7462825294711628,0.6601768785449501,0.36557930335209216,0.9193759985429307,0.48387056389453814,0.7594713765229959,0.621670970208767,0.7467742490182042,4.5,1.5,0.0001,2
31,0.7216437934327345,0.6858585858585858,0.7830385456569705,0.6602490412084985,0.3706359761010551,0.9284376110151235,0.49819857760137026,0.7672711003025677,0.6327348389519689,0.7514305389624186,4.5,1.5,0.0001,3
32,0.71555662359521,0.6714711214711215,0.7854555302001407,0.6456577169902792,0.37405431255276095,0.9284191191459938,0.4930928906633044,0.7501650318414931,0.6216289612523986,0.7570445501760372,4.5,2.0,0.001,2
33,0.7246427082010848,0.6871989121989122,0.7852853368613515,0.6640000795408182,0.377666483740323,0.9285716235914894,0.5011148846574802,0.7686768036535399,0.63489584415551,0.7460790241713805,4.5,2.0,0.001,3
34,0.7192769603199232,0.6960372960372961,0.7596006328276436,0.6789532878122028,0.38418961172280663,0.9244260603905473,0.500862291997879,0.7739787163007054,0.6374205041492922,0.7708870132121509,4.5,2.0,0.0001,2
35,0.7203629110190918,0.6933113183113184,0.7643698242509653,0.6763559977872184,0.37647917263602027,0.921911015760878,0.4983766445144734,0.776765380140733,0.6375710123276033,0.7499932706896877,4.5,2.0,0.0001,3
