config,balanced_acc,accuracy,recall_mci,recall_cn,precision_mci,precision_cn,f1_mci,f1_cn,f1_macro,auc,mci_weight,gamma,lr,wd
29,0.6992592253232611,0.7814814814814816,0.5648439784176091,0.8336744722289133,0.4719333684142742,0.8867131590210131,0.5055893864445444,0.8578080746932029,0.6816987305688735,0.7377824587765631,1.75,0.75,0.001,0.001
30,0.6605971044761237,0.7267773892773893,0.55221482877431,0.7689793801779374,0.425504715648253,0.8326415863517134,0.477397472985991,0.7989672838160845,0.6381823784010378,0.7084586512885781,1.75,0.75,0.003,0.0005
31,0.5640170384794508,0.6166245791245791,0.4774229768801174,0.6506111000787843,0.37737809978908443,0.715287096652397,0.4027023011740786,0.6780674866062822,0.5403848938901805,0.6096492199292887,1.75,0.75,0.003,0.001
32,0.7152582506967242,0.7744690494690494,0.616987975071552,0.8135285263218964,0.45531985519851403,0.896076728049031,0.5185334095195772,0.8517383644563989,0.6851358869879881,0.7546351667184796,1.75,1.0,0.001,0.0005
33,0.7056712203498728,0.7656371406371406,0.6038465868484825,0.8074958538512634,0.44340414928799926,0.8924670975963488,0.5019862917179014,0.8456637856861218,0.6738250387020114,0.7388932700669028,1.75,1.0,0.001,0.001
34,0.7130292250434553,0.7591135716135715,0.6359621332487461,0.7900963168381646,0.44188648825348426,0.8990195319853099,0.5103460147278802,0.8381048602133631,0.6742254374706216,0.7430284808997789,1.75,1.0,0.003,0.0005
35,0.7168670117614622,0.7465552965552966,0.6679369614769278,0.7657970620459966,0.4214322978372063,0.9039355783025446,0.5106323436033431,0.826865722568857,0.6687490330861,0.75128182411437,1.75,1.0,0.003,0.001
36,0.6553869983637158,0.7078606578606579,0.5668567258310527,0.743917270896379,0.4028157882308825,0.832289420250696,0.46404220737220275,0.7839799088335989,0.6240110581029009,0.6932324581954326,2.0,0.5,0.001,0.0005
37,0.7026690835748775,0.7655529655529655,0.5975723152057187,0.8077658519440365,0.4512422236935387,0.891289067385888,0.4995863116511602,0.8446144400569897,0.6721003758540751,0.7439745880367225,2.0,0.5,0.001,0.001
38,0.6243191769463794,0.6546102046102046,0.5731819172728889,0.6754564366198701,0.380739012384619,0.7829874597149084,0.44830158195525427,0.7226337801085646,0.5854676810319095,0.6604139523161021,2.0,0.5,0.003,0.0005
39,0.5696012405568651,0.5939750064750065,0.5293014475738673,0.6099010335398629,0.3314808446850487,0.7220486553921688,0.40106864232728356,0.6596277978800099,0.5303482201036468,0.6003288062310941,2.0,0.5,0.003,0.001
40,0.7079723267539028,0.7874902874902875,0.5760729106929442,0.8398717428148618,0.4772138938372797,0.8883778860850261,0.5178512919613335,0.8628869561447783,0.690369124053056,0.7459189630137726,2.0,0.75,0.001,0.0005
41,0.7094440942510487,0.761451048951049,0.6218488524923165,0.7970393360097806,0.44191369755185317,0.8951674318502653,0.5073130808897814,0.8411394593907839,0.6742262701402827,0.7394003639232629,2.0,0.75,0.001,0.001
42,0.6567034243635429,0.6895428645428645,0.6010681833045226,0.7123386654225631,0.3934195451806657,0.8380331445008163,0.46176085297918446,0.7662458693950105,0.6140033611870973,0.6995802491074475,2.0,0.75,0.003,0.0005
43,0.6682708042052229,0.7021982646982646,0.6116645317035823,0.7248770767068632,0.4048193914042518,0.8425008007875938,0.4762868309636655,0.7772215806600091,0.6267542058118373,0.7130871575740353,2.0,0.75,0.003,0.001
44,0.7069920398299951,0.7745467495467496,0.5945395033669683,0.8194445762930223,0.4561791128300836,0.8909062813371981,0.5101834411758487,0.8524961925989734,0.681339816887411,0.7528076077266187,2.0,1.0,0.001,0.0005
45,0.7103376903835297,0.7675343175343177,0.6139496829922015,0.8067256977748581,0.44676846815284726,0.8940221357347922,0.5105653966495344,0.8470206927347365,0.6787930446921354,0.7454707262974888,2.0,1.0,0.001,0.001
46,0.7155514177525322,0.7643680393680393,0.6343454360373415,0.7967573994677226,0.46618177023783064,0.8979325997669155,0.522009045995241,0.8412951148635988,0.6816520804294199,0.7457143784569882,2.0,1.0,0.003,0.0005
47,0.7135112304652131,0.7702667702667704,0.6200091599942719,0.8070133009361542,0.45123095632526994,0.8964669747237607,0.5162963734234111,0.8479979068374781,0.6821471401304445,0.7509389510787474,2.0,1.0,0.003,0.001
